NBa7we src,d4r55,RfnDt,eaLgGf src,bintang1,bintang2,bintang3,bintang4,bintang5,rsqaWe,wiI7pd,dSlJg src,dSlJg src 2,znYl0,znYl0 2,fontBodySmall,fontBodySmall 2,kyuRq
https://lh3.googleusercontent.com/a-/ALV-UjXAUKvednpbVt6fW0EZ3IPTf6CtO5YsjVSE8czQGNWYu4wi=w54-h54-p-rp-mo-ba8-br100,Glenn Main-Main,"Local Guide · 1,671 reviews · 3,278 photos",https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,4 years ago,"It is one of the parks that located in Northern Surabaya. The park is located just beside the Red Bridge or Jembatan Merah, makes this place even more iconic. It has several beautiful spots. There are many food sellers here and you can find …",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVbnYQTkaPFUxFEPyGAkLnfp3LWXDRrFc-1NGYF_H2ZD1I=w54-h54-p-rp-mo-ba3-br100,Fildzah Amalia Putri H.,Local Guide · 56 reviews · 47 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,5 years ago,A really nice open space. They provide a centre area in the middle of the park for people to do art practice :)). Really nice (and it's clean),https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,Like,,,
https://lh3.googleusercontent.com/a-/ALV-UjUBAAvZZRHIOqQVpGqx8NsWIEqjRytm7nc6uEpmAJNZqQ=w54-h54-p-rp-mo-br100,Boy Moch Tomi,6 reviews,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,a year ago,Nice park. There is a photo spot with unique garden decorative lights. Sand playground for child. You can take a toys for your child. Your child can play there. …,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Like,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjX9yqrOm_IB79DNVlcU76L6P7ODzPG6hHCsevibp25WKhc=w54-h54-p-rp-mo-ba3-br100,Yuniati Tango,Local Guide · 34 reviews · 54 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,5 years ago,Located in old town area near historical Jembatan Merah. Clean and nice.,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,Like,,,
https://lh3.googleusercontent.com/a-/ALV-UjWmGXF_PGuWkLxd1sPuzKS25sdLXaa3AGR0438ySaT_A4Bx=w54-h54-p-rp-mo-ba4-br100,Yoe One Ariestya Niovitta,Local Guide · 89 reviews · 234 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,7 years ago,"Located in the North of Surabaya, which the old area of Surabaya, visitors can see lot of old building from the Dutch era. This park also use for performing art and dance, also from other countries.",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,Like,,,
https://lh3.googleusercontent.com/a-/ALV-UjXYITyTi7XBfnjkD61kYL55NVVdK48WLoP9_Wneyfw7Ykh5=w54-h54-p-rp-mo-ba6-br100,Amir Jauhari,"Local Guide · 348 reviews · 1,645 photos",https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,4 years ago,"I don't know why it's called historical park, but it really is a crowded park. It has some nice instagramable photo spot. There are a lot of people selling snacks and food here, there are also a lot of people offering their becak ride here.",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Like,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjV3qrHKegT9MwBQ4AlmFrIYCqgCnGfTNRU57KPNNTDEAD4=w54-h54-p-rp-mo-br100,Mohammad Hamzah,2 reviews · 3 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,4 years ago,A very nice place to be alone,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,Like,,,
https://lh3.googleusercontent.com/a-/ALV-UjXJgFnTSksxqgihojiNf2eQtGEivYNgW1NdbtrKPcxlUQce=w54-h54-p-rp-mo-ba6-br100,Deny Albatrossa,"Local Guide · 359 reviews · 4,083 photos",https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,5 years ago,"Nice concept as city playground park, but it need maintain and more cleaning. Hopely the security also improved in this park, since it famous with the crime before",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Like,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjWvbG9mylzQ8UbHrEjhn_Jhutzm0_fC22sETo-YHuhAacs=w54-h54-p-rp-mo-ba5-br100,sebastian,Local Guide · 212 reviews · 367 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,4 years ago,"a park to remember.. for heroic people who has fallen protecting Surabaya.. good place for gathering, social act,or event..",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Like,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjW5CLVvUMtkc73OLv71Ip-psTLflRqXYmyKDpQ9b_KNW5w=w54-h54-p-rp-mo-ba2-br100,Fikri Ramadhan,Local Guide · 15 reviews · 9 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,4 years ago,"the place is clean and comfortable, not too crowded and there is free wifi",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Like,Share,,,
