NBa7we src,d4r55,RfnDt,eaLgGf src,bintang1,bintang2,bintang3,bintang4,bintang5,rsqaWe,wiI7pd,dSlJg src,dSlJg src 2,znYl0,znYl0 2,fontBodySmall,fontBodySmall 2,kyuRq
https://lh3.googleusercontent.com/a-/ALV-UjUwbPQL1yZ_Nkv6d0yceb2P8oDFx1Ufj9Jy--uqtidzpTA=w54-h54-p-rp-mo-ba6-br100,Widy Pratiwi,"Local Guide · 191 reviews · 1,132 photos",https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,6 months ago,"Such a good place to held a heritage event or annual event. Crowded enough and good ambience with the heritage buildings, a lot of iconic buildings here. Mostly chinese architecture, nice and beautiful. Dont forget to take many pictures while be here.",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUjOMBJmG6dTbo0DNwQsCkEoDendb-i5gX9hucLGFBXxw4=w54-h54-p-rp-mo-ba5-br100,Rizmay Ananda,Local Guide · 74 reviews · 351 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,7 months ago,Lots of food and drink here.  The place is crowded and recommended to visit on weekends with friends or family.  The performance of local artists who present Chinese culture is indeed attracting attention.,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXf1wv8Ij2PwyV6i5ljvbGzzBm6DXALWlTR7f3S5zZIv5s=w54-h54-p-rp-mo-ba4-br100,Erick Jiwono,Local Guide · 19 reviews · 139 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,7 months ago,"Came at wrong time maybe, since all closed and there's no night market nearby... It was fine.",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,,
https://lh3.googleusercontent.com/a/ACg8ocJUJOGt_xlaJI31XeT9o5rQKnMplXvQW6NYUXjIvITr=w54-h54-p-rp-mo-ba6-br100,J Bz,"Local Guide · 378 reviews · 1,142 photos",https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,6 months ago,"Over rated. Friday night was half dead.

Saturday night was overkill due to some festival. Sea of people. …",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,Like,,,
https://lh3.googleusercontent.com/a/ACg8ocJLR9wmR3WMn9AaprvAq49MlVjmEbpsMbQ4yZzzLFFj=w54-h54-p-rp-mo-ba5-br100,Ghifaroza R.,Local Guide · 130 reviews · 293 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,a year ago,There are lot of food vendors selling Chinese and traditional food. There are plenty tables and chairs also for visitors to use. …,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,,
https://lh3.googleusercontent.com/a/ACg8ocKDF_jB-AR1kfHKavLgVNMRKq_Ycos-gNt2skWQSb6c=w54-h54-p-rp-mo-br100,Lina Hadiwijaya,17 reviews · 18 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,3 months ago,"Come on friday night but no night market. It was just an ordinary road with many cars crossing by. But accidentally find a delicious pork noodle named ""bakmi KJ"". It was on the pedestrian. It was non halal noodle. You can choose noodle with charsiew , mushroom or any other topping. The price is around 35k - 45k per portion.",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Like,Share,,,
https://lh3.googleusercontent.com/a/ACg8ocLiDcN63X5ej8E6B8Lv7_YJSeQqOT9BkFtn2fuHJkE4=w54-h54-p-rp-mo-br100,IDidn'tStartTheFire,16 reviews · 8 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,9 months ago,"Could be cool, but sadly everything seemed shuttered and closed. Very empty both times we went... even in the night market. Kind of eery. I see some reviews saying they miss the old kya kya, and that makes sense because the main street feels a bit abandoned /:",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Like,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjUKphm5H72WDsT7hk73JvYe1a4-UuiVI4N-Eu7_ldE-lP6X=w54-h54-p-rp-mo-ba6-br100,Rushda Amjad,"Local Guide · 292 reviews · 2,004 photos",https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,4 years ago,Was very excited to see this... Went around 1 pm to avoid rush and there was nothing. Just a road with most of the places which were closed. Heard that there is activity only in the evening by 7 pm,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVU1SB03CLFIZqVhJjCVeusPwIEdyYJ3TH7QxXR8FX7WQ=w54-h54-p-rp-mo-ba2-br100,Yusuf Abdullah,Local Guide · 10 reviews · 27 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,a year ago,too crowd and no place to sit. tables and chairs? only few of them,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,,
https://lh3.googleusercontent.com/a/ACg8ocLacgHiT5IblggOGyGpHbA8rQxXdcJo8OAeyiVorcRG=w54-h54-p-rp-mo-ba3-br100,Albertus Wibowo,Local Guide · 90 reviews · 1 photo,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,5 months ago,The choice of food is too little and the table for eat is few,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,,Share,,,
