NBa7we src,d4r55,RfnDt,eaLgGf src,bintang1,bintang2,bintang3,bintang4,bintang5,rsqaWe,wiI7pd,dSlJg src,znYl0,dSlJg src 2,znYl0 2,fontBodySmall,fontBodySmall 2,kyuRq
https://lh3.googleusercontent.com/a-/ALV-UjUwBIZyVq5Ej4jl9lTa-cWK4jIuPc4rWroZfhIGt6RaIFRH=w54-h54-p-rp-mo-ba3-br100,月火（月火）,Local Guide · 22 reviews · 66 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,3 months ago,Beautiful sunset.. cant enter with motor After 5pm,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjXurneXImAespsFBnGfBRCIny6TV77uLWNbwS5_yJMutw=w54-h54-p-rp-mo-ba5-br100,ANTONIO,Local Guide · 239 reviews · 467 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,2 months ago,best jogging spot in east surabaya,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjW0upgkmsiv59Nwy_UB5R6GI8qr6hPWdoVubmpv_yXCUlg=w54-h54-p-rp-mo-ba3-br100,trevor christinsen,Local Guide · 13 reviews · 24 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,2 years ago,I love the bridge.... especially during this horrible pandemic and force people to quarantine...but for me it's cool and gorgeous the view when there's no vehicles surrounding me....,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjWOp8-l1RuRupssnArjnLwbHMvIVP872898kmVL9kSuiuCF=w54-h54-p-rp-mo-ba5-br100,Laily Lanisy,"Local Guide · 184 reviews · 1,341 photos",https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,a year ago,A nice place to have an afternoon stroll and taje picture. You can see Suramadu bridge from this place.,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjVST4HrH3aHUxizWY2IjWuvHvrK-WYltRyYZcM1XERFfw=w54-h54-p-rp-mo-ba3-br100,Aulifia Alfinia,Local Guide · 27 reviews · 74 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,9 months ago,Good place to buy some snacks for those who needs vitamin sea 🏝 …,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjVtfaa88vFU9S1v1iwIjQVC-UcKeUYM_4GArDT2Od4A0cM=w54-h54-p-rp-mo-ba3-br100,Mas Ricky,Local Guide · 30 reviews · 9 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,2 years ago,"The bridge is closed for vehicle in the afternoon. So, the locals can use it as an attraction. Watch out of the strong crosswind.",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjU5E1YVGeUjQGLx1RweH7GtqeSWzcBV1ve2Pgep3Peos30=w54-h54-p-rp-mo-ba5-br100,Mulyadi Mulyadi,"Local Guide · 240 reviews · 1,526 photos",https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,a year ago,This bridge have a beautiful landscape.,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjUtLqfftx1HZQIaA5SDXsHr9i1czo4DxtWfq4VDpY31hg=w54-h54-p-rp-mo-ba3-br100,mochammad rachmat,Local Guide · 86 reviews · 47 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,4 months ago,sunday morning with bocil,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjUnMnAMPAYDYIfwGTRHWf_keiuaP-An38AWyycT0emG8wA=w54-h54-p-rp-mo-br100,Frid,7 reviews · 1 photo,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,10 months ago,A nice place to see the sun rise. I don't know about the view of the fountain at night because I haven't gone there at night.,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,
https://lh3.googleusercontent.com/a-/ALV-UjWYuu59ZiM7ZFe01P3cA1XBfps3pE5wcHxJ9Jvtqhts1SK9=w54-h54-p-rp-mo-ba3-br100,MFATTHUR,Local Guide · 70 reviews · 67 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,11 months ago,you have to stop by here while cycling,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,
