NBa7we src,d4r55,RfnDt,eaLgGf src,bintang1,bintang2,bintang3,bintang4,bintang5,rsqaWe,wiI7pd,dSlJg src,dSlJg src 2,znYl0,znYl0 2,fontBodySmall,fontBodySmall 2,kyuRq
https://lh3.googleusercontent.com/a-/ALV-UjXZuvT7GmqtOmx1StymztLY6JG5xqGWZRQkgysVPOPyNf4=w54-h54-p-rp-mo-ba3-br100,Eka Surya Wijaya,Local Guide · 15 reviews · 19 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,3 years ago,"New, clean & good photo spot in west surabaya.. Instagramable house made of colorfull glass & beautiful garden will make your phone memory full.. 😄 …",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUUw7ukZwF9ZPwMNxO5BsUscSHaQqhjKCwFs9_eBFKsXLA=w54-h54-p-rp-mo-ba3-br100,Lucky Lesar,Local Guide · 24 reviews · 33 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,3 years ago,"Nice park for small capacity, less than 30 persons. Not recomended if visitors more than the number",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUKdyNk4n4Pku_sUGRu6g3NGtgMifCj5UI3GTegxo8IhWE=w54-h54-p-rp-mo-ba4-br100,Abida “Anna” Muttaqiena,Local Guide · 54 reviews · 40 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,3 years ago,"Nice park and great photo spot, but nothing else. It might be cozy place to hangout with friends and family, but only if you come during off-season. When I came at the height of its popularity in December 2019, it was extremely crowded. We …",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXAWNl3I_CrNkf2yGc7gWMnOAV_5eCnJcYrSd1P0smwhu8=w54-h54-p-rp-mo-ba4-br100,aNeLoiD,Local Guide · 205 reviews · 130 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,2 years ago,Very beautiful.... good for relaxing and taking pictures...recommended to go in the morning and evening ....,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXVKwMHF-2syRqzCQgwCANHRlyFVJq6yc8HG30XQoXsT_8=w54-h54-p-rp-mo-ba4-br100,Shane Lee,Local Guide · 72 reviews · 248 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,3 years ago,It is a good place to take a pic but nothing to do.,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,Like,,,
https://lh3.googleusercontent.com/a-/ALV-UjV1tjoAztbOuD-BuyvFb0bVsP-wqVpAIw5DKecSkBdBWzs=w54-h54-p-rp-mo-ba6-br100,Tony Sharing,"Local Guide · 414 reviews · 2,377 photos",https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,3 years ago,"Good nice small park.,its green and clean park. I hope will stay that way.. The alley is near by ayam geprek bensu after enter the alley about 200 meters you will see the park at the right side of the road. The park is free enterance you …",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,Like,,,
https://lh3.googleusercontent.com/a-/ALV-UjUwbPQL1yZ_Nkv6d0yceb2P8oDFx1Ufj9Jy--uqtidzpTA=w54-h54-p-rp-mo-ba6-br100,Widy Pratiwi,"Local Guide · 191 reviews · 1,132 photos",https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,3 years ago,The right place to enjoy beautiful sunset,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,Like,,,
https://lh3.googleusercontent.com/a-/ALV-UjWFKn9A0KlziTOB0z9ZXjvxCdtpbVjFTCtDw-O559aKbNE=w54-h54-p-rp-mo-ba4-br100,angga qa,Local Guide · 64 reviews · 313 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,a year ago,Ok,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,Like,,,
https://lh3.googleusercontent.com/a-/ALV-UjUArlyaC63yUwZv2l8M5OOPgKmmcQzJiKAmhGJPvBTzxh0=w54-h54-p-rp-mo-ba5-br100,Alan Karyono,Local Guide · 356 reviews · 302 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,2 years ago,"Good place in busy west Surabaya areas. Little different vibes in this little park. Good for selfies and wefies, anyone who want to post in their sosmed.",https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,Like,,,
https://lh3.googleusercontent.com/a/ACg8ocLMoPWZsc3vNvzzvA1FS6C9t80XPFvY43-zRt72TQFv=w54-h54-p-rp-mo-br100,angga 10kimia,63 reviews · 421 photos,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,a year ago,Ok,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Share,Like,,,
